,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Watsa,8,CD,1547355714,63,3.04,29.53,72.02,5.75
1,Camopi,92,GF,1547355716,99,3.17,-52.33,72.38,2.28
2,Arraial do Cabo,12,BR,1547355309,93,-22.97,-42.02,75.62,11.18
3,Bluff,0,AU,1547355405,34,-23.58,149.07,94.43,12.3
4,Tasiilaq,64,GL,1547351400,67,65.61,-37.64,17.6,3.36
5,Billings,1,US,1547355180,63,45.79,-108.5,33.08,17.22
6,Kavaratti,0,IN,1547355664,100,10.57,72.64,81.92,10.85
7,Pingliang,44,CN,1547355723,57,35.54,106.68,34.4,4.25
8,Port Alfred,0,ZA,1547355335,84,-33.59,26.89,69.32,8.55
9,Hofn,92,IS,1547355300,100,64.25,-15.21,35.75,24.94
10,Shubarshi,88,KZ,1547355726,94,48.59,57.19,29.9,13.91
11,Carnarvon,56,ZA,1547355350,86,-30.97,22.13,56.72,7.83
12,Punta Arenas,75,CL,1547352000,65,-53.16,-70.91,46.4,31.09
13,Mataura,88,NZ,1547355377,91,-46.19,168.86,55.37,4.63
14,Thompson,90,CA,1547352000,85,55.74,-97.86,14.0,6.93
15,Kings Mountain,90,US,1547355000,97,35.25,-81.34,35.06,5.82
16,Hermanus,12,ZA,1547355303,74,-34.42,19.24,63.2,9.95
17,Haimen,8,CN,1547355734,80,31.87,121.18,49.07,7.65
18,Busselton,0,AU,1547355304,80,-33.64,115.35,74.9,17.0
19,Tautira,75,PF,1547353800,78,-17.73,-149.15,80.6,12.75
20,Middle Island,75,US,1547355120,42,40.88,-72.94,28.94,6.93
21,Neuquen,0,AR,1547352000,48,-38.95,-68.06,64.4,5.82
22,Lebu,0,ET,1547352000,45,8.96,38.73,44.6,4.7
23,Hobart,0,AU,1547353800,40,-42.88,147.33,71.6,17.22
24,Newark,90,US,1547355360,44,40.74,-74.17,33.08,6.93
25,Ushuaia,75,AR,1547352000,70,-54.81,-68.31,44.6,29.97
26,Dikson,64,RU,1547355359,100,73.51,80.55,-12.04,31.43
27,Nouadhibou,0,MR,1547355679,80,20.93,-17.03,58.88,5.75
28,Tiksi,20,RU,1547355747,55,71.64,128.87,-31.84,3.36
29,Lagoa,0,PT,1547352000,49,37.14,-8.45,48.2,8.05
30,Aklavik,5,CA,1547352000,65,68.22,-135.01,-34.61,3.36
31,Armidale,0,AU,1547355751,54,-30.51,151.67,79.67,8.55
32,Yellowknife,20,CA,1547352000,75,62.45,-114.38,-16.61,10.29
33,Atbasar,36,KZ,1547355753,81,51.81,68.36,9.92,12.64
34,Rikitea,80,PF,1547355344,99,-23.12,-134.97,79.49,15.21
35,Laje,92,BR,1547355756,85,-13.18,-39.42,70.67,3.58
36,Cao Bang,92,VN,1547355757,100,22.67,106.25,60.95,3.58
37,Cape Town,20,ZA,1547352000,93,-33.93,18.42,62.6,10.29
38,Airai,32,TL,1547355516,64,-8.93,125.41,83.09,2.13
39,Mayo,5,CA,1547352000,75,63.59,-135.9,-18.41,2.57
40,Hilo,90,US,1547351580,75,19.71,-155.08,73.04,3.36
41,Solnechnyy,64,RU,1547355763,78,50.72,136.64,-3.94,3.06
42,Saurimo,92,AO,1547355764,94,-9.66,20.4,67.25,7.43
43,Albany,75,US,1547351820,53,42.65,-73.75,17.06,5.82
44,Cabo San Lucas,5,MX,1547350920,68,22.89,-109.91,66.2,3.36
45,Khasan,0,RU,1547355768,88,42.43,130.64,32.15,2.84
46,Gombong,36,ID,1547355769,96,-7.19,109.31,79.67,1.12
47,Lompoc,1,US,1547354100,87,34.64,-120.46,53.96,5.82
48,Brigantine,90,US,1547355360,96,39.41,-74.36,28.94,5.14
49,Flinders,48,AU,1547355518,77,-34.58,150.85,75.17,6.31
50,Wittenheim,75,FR,1547353800,87,47.81,7.34,42.8,10.29
51,Fukue,20,JP,1547353800,46,35.03,136.69,50.0,3.36
52,East London,0,ZA,1547352000,77,-33.02,27.91,68.0,6.93
53,Karpogory,88,RU,1547355777,83,64.0,44.44,24.68,7.27
54,Mae Hong Son,40,MM,1547352000,73,19.3,97.96,75.2,3.36
55,Barranca,36,PE,1547355780,100,-10.75,-77.76,70.04,13.8
56,Bose,0,IT,1547353200,74,45.46,8.01,32.0,4.7
57,Adrar,0,DZ,1547352000,47,27.87,-0.29,35.6,12.75
58,Uzhur,0,RU,1547355784,62,55.32,89.85,-13.93,3.24
59,Tremedal,80,BR,1547355728,96,-14.98,-41.41,65.9,5.14
60,Touros,75,BR,1547352000,88,-5.2,-35.46,77.0,3.36
61,Chokurdakh,76,RU,1547355471,70,70.62,147.9,-23.11,8.39
62,Fort Payne,90,US,1547354220,88,34.44,-85.72,42.8,4.7
63,Yerbogachen,12,RU,1547355403,51,61.28,108.01,-17.8,4.63
64,Hithadhoo,24,MV,1547355317,100,-0.6,73.08,81.47,6.6
65,Faanui,80,PF,1547355367,100,-16.48,-151.75,83.54,20.62
66,Sur,0,OM,1547355437,100,22.57,59.53,72.02,3.91
67,Puerto Ayora,36,EC,1547355496,100,-0.74,-90.35,75.53,7.31
68,San Cristobal,75,EC,1547352000,100,-0.39,-78.55,55.4,4.7
69,Mar del Plata,0,AR,1547355348,59,-46.43,-67.52,51.86,8.05
70,Saint-Joseph,0,FR,1547353800,74,43.56,6.97,48.2,5.82
71,Ulladulla,92,AU,1547355799,93,-35.36,150.48,71.93,10.56
72,Upernavik,32,GL,1547355231,100,72.79,-56.15,-6.55,8.77
73,Harper,1,US,1547355060,82,30.3,-99.24,39.56,4.7
74,Jamestown,0,AU,1547355543,24,-33.21,138.6,92.99,6.64
75,Mahajanga,20,MG,1547352000,78,-15.72,46.32,77.0,4.7
76,Saskylakh,0,RU,1547355274,0,71.97,114.09,-56.68,4.59
77,Fundacion,20,PH,1547355806,68,10.64,122.18,84.17,14.43
78,Beringovskiy,32,RU,1547355808,100,63.05,179.32,-9.07,27.11
79,Pangnirtung,12,CA,1547355809,60,66.15,-65.72,-33.55,4.03
80,Alofi,88,NU,1547352000,74,-19.06,-169.92,82.4,14.99
81,Ilulissat,75,GL,1547351400,48,69.22,-51.1,-7.61,2.24
82,Vaini,0,IN,1547352000,47,15.34,74.49,77.0,9.17
83,San Quintin,0,PH,1547355814,56,17.54,120.52,83.18,3.62
84,Kaitangata,92,NZ,1547355453,100,-46.28,169.85,54.56,4.59
85,Faya,0,SA,1547352000,71,18.39,42.45,55.4,6.93
86,Namibe,0,AO,1547355817,100,-15.19,12.15,72.65,6.38
87,Castro,0,CL,1547352000,100,-42.48,-73.76,41.0,4.7
88,Wanning,75,AT,1547355000,100,48.64,13.53,33.8,9.17
89,Port Hedland,0,AU,1547353800,60,-20.31,118.58,96.8,18.34
90,La Union,68,GT,1547355822,92,14.97,-89.29,56.18,2.01
91,Progreso,0,UY,1547352000,83,-34.68,-56.22,69.8,10.29
92,Nikolskoye,40,RU,1547353800,85,59.7,30.79,24.8,13.42
93,Ancud,0,CL,1547352000,100,-41.87,-73.83,41.0,4.7
94,Ponta do Sol,92,BR,1547355559,99,-20.63,-46.0,63.2,1.05
95,Bathsheba,0,BB,1547352000,73,13.22,-59.52,75.2,9.17
96,Kapaa,90,US,1547354100,71,22.08,-159.32,77.0,4.7
97,Esperance,20,TT,1547352000,83,10.24,-61.45,73.4,4.92
98,Northam,92,GB,1547351400,100,51.04,-4.21,48.2,19.46
99,Coquimbo,0,CL,1547352000,87,-29.95,-71.34,59.0,5.82
100,Port Elizabeth,90,US,1547354220,88,39.31,-74.98,28.94,3.51
101,Narsaq,88,GL,1547351400,86,60.91,-46.05,32.0,10.29
102,Ahipara,8,NZ,1547355836,76,-35.17,173.16,70.31,9.89
103,Hasaki,20,JP,1547353800,37,35.73,140.83,50.0,11.41
104,Iqaluit,5,CA,1547353680,61,63.75,-68.52,-20.21,18.34
105,Khuzdar,0,PK,1547355840,65,27.8,66.62,45.92,3.58
106,Butaritari,44,KI,1547355400,100,3.07,172.79,83.63,10.33
107,Lorengau,88,PG,1547355842,99,-2.02,147.27,83.45,14.47
108,Sitka,48,US,1547355241,89,37.17,-99.65,24.5,6.64
109,Cidreira,24,BR,1547355845,92,-30.17,-50.22,72.92,10.96
110,Beaverlodge,75,CA,1547354160,85,55.21,-119.43,15.8,4.7
111,Riyadh,0,SA,1547352000,32,24.63,46.72,53.6,2.24
112,Severo-Yeniseyskiy,0,RU,1547355848,61,60.37,93.04,-21.4,3.36
113,Kodiak,90,US,1547354100,92,39.95,-94.76,32.0,14.99
114,Yar-Sale,80,RU,1547355851,90,66.83,70.83,3.8,21.41
115,Kyabe,8,TD,1547355852,33,9.45,18.94,66.89,7.05
116,Husavik,92,CA,1547355457,92,50.56,-96.99,18.83,12.68
117,Mountain Home,1,US,1547355180,77,43.13,-115.69,28.04,5.82
118,Verkhnyaya Toyma,80,RU,1547355855,86,62.24,45.0,19.73,7.61
119,New Norfolk,0,AU,1547353800,40,-42.78,147.06,71.6,17.22
120,Atuona,48,PF,1547355435,100,-9.8,-139.03,81.11,15.7
121,Lyubim,76,RU,1547355859,87,58.36,40.69,19.46,6.53
122,Walvis Bay,12,NA,1547352000,93,-22.95,14.51,60.8,6.93
123,Norman Wells,40,CA,1547353860,66,65.28,-126.83,-31.01,4.7
124,Portales,20,US,1547351880,72,34.19,-103.33,32.72,6.93
125,Verkhnevilyuysk,56,RU,1547355864,65,63.45,120.31,-14.2,3.91
126,San Patricio,0,PY,1547355865,96,-26.98,-56.83,73.28,3.36
127,North Bend,1,US,1547351760,96,43.41,-124.22,46.94,3.36
128,Guia de Isora,20,ES,1547353800,13,28.21,-16.78,66.2,11.41
129,Avera,90,US,1547355300,84,33.19,-82.53,51.8,6.93
130,Halifax,90,CA,1547354700,92,44.65,-63.58,12.2,9.17
131,Belaya Gora,64,RU,1547355524,76,68.54,146.19,-37.42,3.51
132,Tuktoyaktuk,5,CA,1547352000,66,69.44,-133.03,-31.01,8.05
133,Clyde River,1,CA,1547352000,73,70.47,-68.59,-34.61,5.82
134,Lewiston,1,US,1547351760,75,46.42,-117.02,33.98,3.36
135,Lavrentiya,0,RU,1547355497,89,65.58,-170.99,-10.33,30.13
136,Silvassa,0,IN,1547355877,33,20.27,73.0,82.1,5.86
137,El Seibo,64,DO,1547355878,88,18.76,-69.04,70.22,4.36
138,Rio Grande,75,BR,1547351100,100,-32.03,-52.1,69.8,10.78
139,Ust-Kulom,80,RU,1547355881,79,61.69,53.69,15.05,6.53
140,Kitui,0,KE,1547355882,37,-1.37,38.02,72.74,4.36
141,Mandalgovi,24,MN,1547355883,49,45.76,106.27,18.11,9.62
142,Parauna,32,ID,1547355885,87,-3.82,122.09,79.4,1.12
143,Nanortalik,92,GL,1547355886,94,60.14,-45.24,31.52,9.44
144,Yumen,68,CN,1547355887,91,40.29,97.04,15.05,8.61
145,Labuhan,92,ID,1547355515,93,-2.54,115.51,76.79,2.51
146,Codrington,40,AU,1547352000,45,-28.95,153.24,89.6,11.41
147,Bosaso,0,SO,1547352000,73,11.28,49.18,73.4,6.42
148,San Carlos,32,VE,1547355725,82,9.66,-68.59,72.65,7.43
149,Caxito,0,BR,1547355894,92,-22.65,-42.51,72.2,8.84
150,Sorland,76,NO,1547355376,100,67.67,12.69,34.22,19.06
151,Souillac,90,FR,1547352000,93,45.6,-0.6,48.2,5.82
152,Sao Filipe,8,CV,1547355378,100,14.9,-24.5,70.85,10.07
153,Chuy,64,UY,1547355346,96,-33.69,-53.46,68.87,10.63
154,Bandarbeyla,0,SO,1547355680,98,9.49,50.81,77.96,18.68
155,Avarua,75,CK,1547352000,83,-21.21,-159.78,80.6,6.93
156,Nemuro,20,JP,1547352000,50,43.32,145.57,28.4,3.36
157,Caravelas,92,BR,1547355703,100,-17.73,-39.27,79.85,9.44
158,Mengcheng,20,CN,1547355904,74,33.26,116.57,48.62,4.63
159,Berlevag,88,NO,1547355905,100,70.86,29.09,27.92,3.91
160,Hovd,90,NO,1547353200,94,63.83,10.7,37.4,18.34
161,Asosa,0,ET,1547355907,38,10.07,34.53,71.48,2.51
162,Bambous Virieux,40,MU,1547352000,70,-20.34,57.76,84.2,11.41
163,Severodvinsk,90,RU,1547353800,100,64.56,39.82,23.0,8.95
164,Fortuna,0,ES,1547353800,52,38.18,-1.13,46.4,10.29
165,Two Rivers,90,US,1547355360,78,44.15,-87.57,30.02,6.93
166,Saint-Philippe,1,CA,1547354100,86,45.36,-73.48,1.4,2.8
167,Kamenka,80,RU,1547355915,83,53.19,44.05,10.73,11.9
168,Kingseat,40,GB,1547355000,87,56.1,-3.41,50.0,21.92
169,Bialystok,80,PL,1547355918,97,53.13,23.15,31.7,9.78
170,Dunedin,92,NZ,1547355632,100,-45.87,170.5,52.49,7.16
171,Provideniya,20,RU,1547355551,100,64.42,-173.23,-8.17,24.76
172,Benguela,48,AO,1547355921,100,-12.58,13.4,75.17,2.39
173,Xining,0,CN,1547355395,27,36.62,101.77,30.71,1.83
174,Padang,20,ID,1547353800,74,-0.92,100.36,86.0,4.7
175,Samarinda,76,ID,1547355925,88,-0.5,117.14,80.03,2.39
176,Huambo,8,AO,1547355926,83,-12.78,15.73,60.41,3.8
177,Cherskiy,32,RU,1547355446,60,68.75,161.3,-20.5,1.5
178,Barisal,0,BD,1547355929,62,22.7,90.37,76.88,6.15
179,Payo,92,ID,1547355930,96,-3.75,103.64,78.77,3.29
180,Qaqortoq,88,GL,1547351400,95,60.72,-46.03,32.0,10.29
181,Vanimo,8,PG,1547355932,100,-2.67,141.3,82.73,19.06
182,Port Lincoln,0,AU,1547355933,62,-34.72,135.86,75.98,13.58
183,Borba,0,PT,1547355935,70,38.81,-7.46,25.22,5.41
184,Victoria,75,BN,1547353800,79,5.28,115.24,87.8,5.82
185,Puri,20,ID,1547353800,70,-7.54,112.45,87.8,9.17
186,Tlacotalpan,20,MX,1547355938,100,18.61,-95.66,66.08,3.51
187,Katsuura,20,JP,1547352000,53,33.93,134.5,50.0,13.87
188,Bethel,75,US,1547351760,82,60.79,-161.76,-2.03,19.46
189,Thunder Bay,90,CA,1547352000,92,48.41,-89.26,15.8,2.24
190,Giyani,8,ZA,1547355943,85,-23.32,30.73,75.89,4.59
191,Ati,0,TD,1547355944,39,13.21,18.34,62.03,4.07
192,Borazjan,92,IR,1547353800,67,29.27,51.21,57.2,2.24
193,Portland,1,US,1547355180,79,45.52,-122.67,46.94,5.82
194,Hue,40,VN,1547353800,55,16.47,107.58,87.8,5.82
195,Chipinge,32,ZW,1547355949,76,-20.19,32.62,81.83,2.91
196,Hami,76,CN,1547355291,76,42.84,93.51,19.64,4.25
197,Longyearbyen,20,NO,1547351400,55,78.22,15.63,6.8,13.87
198,Barrow,92,AR,1547355327,97,-38.31,-60.23,63.65,5.59
199,Sao Miguel do Araguaia,56,BR,1547355954,95,-13.28,-50.16,71.57,3.13
200,Zhuanghe,0,CN,1547355955,92,39.7,122.97,36.2,1.61
201,Xai-Xai,36,MZ,1547355956,90,-25.04,33.64,80.48,10.78
202,Surgut,90,RU,1547353800,85,61.25,73.4,10.4,13.42
203,Matagami,8,NG,1547355958,36,9.67,8.4,62.21,7.87
204,Saint Lawrence,20,MT,1547354700,65,36.06,14.2,46.4,10.29
205,Qaanaaq,0,GL,1547355577,100,77.48,-69.36,-24.64,9.89
206,Qandala,0,SO,1547355962,77,11.47,49.87,71.57,3.8
207,Itaquyry,48,PY,1547355964,96,-24.93,-55.22,71.84,2.35
208,Hualmay,20,PE,1547355965,94,-11.1,-77.61,62.03,1.9
209,Half Moon Bay,40,US,1547355360,77,37.46,-122.43,57.92,8.05
210,Georgetown,20,GY,1547352000,100,6.8,-58.16,71.6,4.7
211,Singkang,75,MY,1547352000,66,2.1,102.8,87.8,10.29
212,Bredasdorp,44,ZA,1547352000,63,-34.53,20.04,64.4,10.29
213,Kyabram,0,AU,1547355749,48,-36.31,145.05,92.99,8.1
214,Bukama,92,CD,1547355972,100,-9.2,25.85,68.15,4.36
215,Surt,92,LY,1547355973,100,31.21,16.59,53.3,19.73
216,Kununurra,0,AU,1547353800,49,-15.77,128.74,91.4,4.7
217,Montemor-o-Novo,0,PT,1547352000,88,38.65,-8.21,39.2,6.93
218,Tara,75,JP,1547352000,87,33.0,130.15,53.6,4.7
219,Poum,40,MK,1547355600,84,41.28,20.71,8.6,4.7
220,Victoria Point,20,AU,1547353800,58,-27.58,153.3,89.6,13.87
221,Abu Dhabi,20,AE,1547352000,82,24.47,54.37,64.4,2.24
222,Kupang,20,ID,1547353800,62,-10.16,123.6,89.6,9.17
223,Saldanha,76,PT,1547355500,81,41.42,-6.55,20.9,3.24
224,Kokopo,92,PG,1547355985,100,-4.34,152.27,77.96,4.81
225,Diego de Almagro,0,CL,1547355986,84,-26.39,-70.05,51.32,2.62
226,Kloulklubed,75,PW,1547351400,70,7.04,134.26,84.2,12.75
227,Deputatskiy,48,RU,1547355988,54,69.3,139.9,-32.38,2.8
228,Zyryanka,24,RU,1547355990,74,65.73,150.89,-37.15,3.58
229,Itarema,76,BR,1547355991,97,-2.92,-39.92,72.29,2.39
230,Mount Gambier,0,AU,1547352000,44,-37.83,140.78,77.0,18.34
231,Prince Rupert,90,CA,1547354040,100,54.32,-130.32,42.8,2.24
232,Grand Gaube,40,MU,1547352000,70,-20.01,57.66,84.2,11.41
233,Khatanga,36,RU,1547355996,56,71.98,102.47,-31.93,3.06
234,Quatre Cocos,40,MU,1547352000,70,-20.21,57.76,84.2,11.41
235,Kpandae,24,GH,1547355998,58,8.46,-0.01,69.5,2.01
236,Caucaia,75,BR,1547352000,83,-3.73,-38.66,80.6,5.82
237,Tshikapa,76,CD,1547356000,96,-6.42,20.79,71.39,3.13
238,Channel-Port aux Basques,80,CA,1547356002,100,47.57,-59.14,31.52,28.79
239,Ramsgate,75,AU,1547353800,78,-33.98,151.14,82.4,21.92
240,Atwater,1,US,1547355180,92,37.35,-120.61,50.0,8.16
241,West Wendover,90,US,1547351760,88,40.74,-114.07,28.04,3.36
242,Tiznit,0,MA,1547356007,84,29.7,-9.73,45.65,6.42
243,Santa Marinella,40,IT,1547355000,74,42.04,11.87,42.8,5.82
244,Muli,0,IN,1547356009,53,22.62,71.45,74.99,5.26
245,Mahebourg,40,MU,1547352000,70,-20.41,57.7,84.2,11.41
246,Havre-Saint-Pierre,90,CA,1547352000,72,50.23,-63.6,15.8,6.93
247,Kawalu,20,ID,1547355800,100,-7.38,108.21,74.72,1.83
248,Kenai,75,US,1547351760,84,60.55,-151.26,19.04,21.92
249,Visby,32,SE,1547353200,100,57.64,18.3,24.8,3.36
250,Liku,12,ID,1547356017,89,-0.73,119.89,83.45,2.91
251,General Roca,0,AR,1547352000,48,-39.03,-67.58,64.4,5.82
252,Kailua,90,US,1547353320,78,21.39,-157.74,78.08,4.25
253,Timbuktu,0,ML,1547356020,26,16.77,-3.01,57.08,11.68
254,Paraopeba,40,BR,1547352000,69,-19.28,-44.4,73.4,6.93
255,Biak,12,ID,1547356023,79,-0.91,122.88,87.05,2.51
256,Loudi,92,CN,1547356024,100,27.73,112.0,43.22,6.42
257,Swan River,0,CA,1547356025,89,52.11,-101.27,12.26,7.16
258,Mazamari,64,PE,1547356027,100,-11.33,-74.53,63.83,1.34
259,Opuwo,0,NA,1547356028,48,-18.06,13.84,58.16,2.51
260,Waipawa,92,NZ,1547355488,96,-39.94,176.59,64.19,2.57
261,Beloha,64,MG,1547355594,97,-25.17,45.06,82.1,4.63
262,Tezu,0,IN,1547356031,40,27.93,96.16,63.65,1.9
263,Chifeng,0,CN,1547356033,26,42.27,118.96,30.35,5.93
264,Hit,8,IQ,1547356034,82,33.64,42.83,43.04,4.74
265,Cisterna,0,BR,1547356035,89,-11.93,-41.86,63.92,8.55
266,Liberal,90,US,1547354520,92,37.04,-100.92,32.0,11.41
267,Luena,48,AO,1547356038,84,-11.78,19.91,68.51,3.58
268,Quang Ngai,92,VN,1547356040,94,15.12,108.8,71.48,3.13
269,Vila Velha,75,BR,1547352000,83,-3.71,-38.6,80.6,5.82
270,Olinda,75,EC,1547352000,78,-2.03,-79.75,78.8,10.29
271,Yasothon,0,TH,1547352000,48,15.8,104.15,84.2,6.93
272,Kodino,80,RU,1547356044,86,63.72,39.64,25.76,8.28
273,Parintins,64,BR,1547356046,92,-2.63,-56.73,75.71,2.13
