,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,Maniitsoq,68,GL,1547355454,100,65.42,-52.9,8.84,5.86
275,Kijang,40,KR,1547352000,49,35.24,129.21,46.4,5.82
276,Guerrero Negro,88,MX,1547356049,100,27.97,-114.04,56.0,4.74
277,Bull Savanna,8,JM,1547356050,91,17.89,-77.59,65.72,2.91
278,Tazovskiy,88,RU,1547356052,78,67.47,78.7,-3.94,22.08
279,Taltal,0,CL,1547356053,97,-25.41,-70.49,50.78,1.34
280,Redlands,1,US,1547354100,76,34.06,-117.19,53.96,3.36
281,High Level,40,CA,1547352000,92,58.52,-117.13,5.0,14.99
282,Uruzgan,0,AF,1547356057,46,32.93,66.63,21.53,1.79
283,Bonthe,56,SL,1547356058,84,7.53,-12.5,79.85,5.03
284,Heilbronn,90,DE,1547355000,93,49.14,9.22,37.4,8.05
285,Kavieng,76,PG,1547356060,100,-2.57,150.8,82.19,11.86
286,Nabire,56,ID,1547356062,90,-3.36,135.5,76.7,1.23
287,Leningradskiy,20,RU,1547355892,100,69.38,178.42,-18.07,8.43
288,Cayenne,40,GF,1547353800,88,4.94,-52.33,73.4,2.24
289,Asadabad,75,IR,1547352000,79,34.78,48.12,24.8,4.59
290,Luau,92,CD,1547356066,99,-10.7,22.23,66.98,2.57
291,Mgachi,0,RU,1547356067,100,51.05,142.27,10.73,9.78
292,Forbes,76,AU,1547356069,78,-33.38,148.01,87.05,5.08
293,Kefamenanu,36,ID,1547355828,93,-9.45,124.48,77.6,2.01
294,Shelburne,1,CA,1547352000,91,44.08,-80.2,15.8,2.24
295,Lifford,92,IE,1547356072,96,54.83,-7.48,47.63,19.57
296,Salalah,0,OM,1547351400,33,17.01,54.1,71.6,5.82
297,Naze,12,NG,1547352000,100,5.43,7.07,73.4,4.14
298,Tateyama,75,JP,1547352000,100,36.66,137.31,46.4,6.93
299,Preobrazheniye,0,RU,1547356077,43,42.9,133.91,29.09,2.35
300,Sioux Lookout,90,CA,1547352840,92,50.1,-91.92,17.6,6.93
301,Parabel,48,RU,1547356080,78,58.71,81.5,-7.45,10.33
302,Ola,36,RU,1547355565,100,59.58,151.3,8.48,5.59
303,Haines Junction,44,CA,1547355559,51,60.75,-137.51,-20.14,2.06
304,Geraldton,5,CA,1547352000,75,49.72,-86.95,-14.81,3.91
305,Ribeira Grande,44,PT,1547356084,98,38.52,-28.7,62.12,20.69
306,Henties Bay,68,NA,1547356085,100,-22.12,14.28,61.13,3.06
307,Jumla,88,NP,1547356087,85,29.28,82.18,26.39,1.83
308,Salinopolis,100,BR,1547356088,100,-0.61,-47.36,78.95,9.17
309,Road Town,1,VG,1547351580,81,18.42,-64.62,75.92,8.05
310,Vrangel,0,RU,1547356091,100,42.73,133.08,32.51,4.63
311,Juneau,90,US,1547352540,100,58.3,-134.42,35.6,2.51
312,Malinovskiy,92,RU,1547356093,92,54.15,34.53,24.32,8.43
313,Tual,88,ID,1547356094,100,-5.67,132.75,83.72,15.7
314,Potsdam,75,DE,1547355000,93,52.4,13.06,41.0,12.75
315,Port Hardy,90,CA,1547352000,87,50.7,-127.42,46.4,17.22
316,Tuatapere,48,NZ,1547356098,87,-46.13,167.69,58.07,5.3
317,Yenotayevka,92,RU,1547356099,83,47.24,47.04,21.35,3.02
318,Taoudenni,0,ML,1547356101,38,22.68,-3.98,41.6,12.46
319,Kahului,40,US,1547351760,71,20.89,-156.47,77.0,9.17
320,Borgosesia,0,IT,1547355000,79,45.72,8.28,44.6,1.12
321,Toktogul,0,KG,1547356104,83,41.87,72.95,11.72,2.13
322,San Rafael,64,AR,1547356004,78,-34.61,-68.33,58.7,4.07
323,Merauke,68,ID,1547356107,98,-8.49,140.4,82.82,7.38
324,Te Anau,80,NZ,1547356108,54,-45.41,167.72,57.26,5.75
325,Anadyr,0,RU,1547352000,68,64.73,177.51,-16.61,8.95
326,Casablanca,20,MA,1547353800,100,33.6,-7.62,39.2,3.36
327,Pacifica,20,US,1547355360,80,37.61,-122.49,57.92,5.82
328,Porto Novo,40,BR,1547352000,94,-23.68,-45.44,71.6,3.36
329,Broken Hill,0,AU,1547352000,14,-31.97,141.45,95.0,11.41
330,Kruisfontein,0,ZA,1547355451,81,-34.0,24.73,67.52,5.53
331,Rudnogorsk,44,RU,1547356116,60,57.27,103.75,-2.95,9.95
332,Sampit,76,ID,1547356117,85,-2.54,112.95,84.44,7.65
333,Ranong,40,TH,1547352000,74,9.96,98.62,84.2,11.41
334,Batagay,0,RU,1547356120,0,67.65,134.64,-55.78,2.73
335,Finschhafen,88,PG,1547356075,88,-6.6,147.85,79.13,2.84
336,Vardo,90,US,1547354100,95,39.62,-77.74,30.2,3.36
337,Beasain,75,ES,1547353800,81,43.05,-2.2,48.2,4.7
338,Rocha,36,UY,1547356125,96,-34.48,-54.34,62.93,6.38
339,Hope,1,CA,1547352000,80,49.38,-121.43,39.2,14.99
340,Huarmey,32,PE,1547356127,90,-10.07,-78.15,59.42,3.36
341,Comodoro Rivadavia,0,AR,1547352000,25,-45.87,-67.48,62.6,10.29
342,Kattivakkam,20,IN,1547353800,61,13.22,80.32,82.4,4.7
343,Coahuayana,32,MX,1547355558,82,18.62,-100.35,58.07,2.57
344,Zhigansk,32,RU,1547356132,49,66.77,123.37,-16.54,9.78
345,Saint George,20,GR,1547353200,74,39.45,22.34,33.8,11.41
346,Hammerfest,80,NO,1547355000,86,70.66,23.68,28.4,21.92
347,Rokytne,92,UA,1547356136,94,51.27,27.23,31.07,10.56
348,Ararat,0,AU,1547356137,21,-37.28,142.93,85.97,12.68
349,Warmbad,56,DE,1547355000,86,50.67,13.08,39.2,12.75
350,Coihueco,92,CL,1547352000,58,-36.63,-71.83,59.0,6.93
351,Leshukonskoye,80,RU,1547356141,78,64.9,45.76,23.06,8.95
352,Laguna,0,MX,1547356142,82,27.52,-110.01,52.31,2.01
353,Timizart,8,DZ,1547356143,100,36.8,4.25,31.25,2.73
354,Ust-Kuyga,24,RU,1547356145,0,70.0,135.55,-38.14,2.62
355,Veraval,90,FR,1547353800,93,49.65,0.71,50.0,11.41
356,Tomatlan,0,MX,1547356147,91,19.93,-105.25,65.18,2.35
357,Mezen,88,RU,1547355691,89,65.85,44.24,25.04,6.42
358,Mareeba,75,AU,1547354760,83,-16.99,145.42,78.8,8.05
359,Santander,90,PH,1547352000,74,9.42,123.33,82.4,13.87
360,Muzhi,48,RU,1547356152,76,65.4,64.7,4.88,12.86
361,Torma,64,EE,1547355000,100,58.82,26.74,28.4,4.7
362,Novoagansk,92,RU,1547356155,70,61.94,76.66,-1.6,12.08
363,Sijunjung,80,ID,1547356156,92,-0.69,100.95,76.88,0.6
364,Jabinyanah,40,TN,1547352000,82,35.03,10.91,46.4,9.17
365,Sinnamary,88,GF,1547356158,96,5.38,-52.96,78.23,10.89
366,Terrace,75,CA,1547352000,93,54.52,-128.61,35.6,8.05
367,Talnakh,76,RU,1547356161,52,69.49,88.39,-18.25,19.84
368,Dabakala,24,CI,1547356162,46,8.36,-4.43,67.34,3.36
369,Constitucion,0,MX,1547356163,73,23.99,-104.67,40.79,6.26
370,Vestmannaeyjar,36,IS,1547356164,100,63.44,-20.27,32.24,8.95
371,Wukari,12,NG,1547356166,70,7.87,9.78,64.37,2.8
372,Luwuk,12,ID,1547356167,79,-0.95,122.79,87.05,2.51
373,Mastic Beach,75,US,1547355120,42,40.77,-72.85,28.94,6.93
374,Jadu,0,LY,1547356169,81,31.95,12.03,28.73,6.76
375,Okha,0,RU,1547356170,86,53.59,142.95,9.29,12.91
376,Trairi,76,BR,1547355507,100,-3.28,-39.27,81.38,4.52
377,Huilong,92,CN,1547356173,93,28.89,110.18,40.52,3.29
378,Marathon,0,CA,1547355922,100,48.72,-86.38,6.68,4.36
379,Saint-Ambroise,90,FR,1547353800,93,47.25,-0.65,48.2,5.82
380,Torbay,75,CA,1547354940,92,47.66,-52.73,23.0,16.11
381,Lichinga,88,MZ,1547356178,96,-13.3,35.25,70.4,6.08
382,Manasa,0,IN,1547356179,71,24.48,75.27,69.05,4.59
383,Jaffna,92,LK,1547356180,95,9.67,80.01,79.94,19.73
384,Balad,0,ID,1547356182,100,-6.76,108.42,82.37,9.84
385,Boa Vista,0,BR,1547352000,69,2.82,-60.67,78.8,10.29
386,Noumea,90,NC,1547353800,74,-22.28,166.46,82.4,24.16
387,Tocache,92,PE,1547356186,97,-8.19,-76.51,57.17,2.06
388,Saint-Pierre,90,FR,1547353800,100,48.95,4.24,46.4,13.87
389,Isla Mujeres,5,MX,1547351280,93,21.23,-86.73,66.2,5.41
390,Pevek,0,RU,1547356191,72,69.7,170.27,-23.92,6.15
391,Challapata,76,BO,1547356192,92,-18.9,-66.78,36.74,2.39
392,Camargo,0,MX,1547356193,80,27.69,-105.17,41.15,7.27
393,Abnub,0,EG,1547352000,81,27.27,31.15,44.6,9.17
394,Colares,0,PT,1547355600,100,38.8,-9.45,42.8,5.82
395,La Crosse,90,US,1547355360,66,43.8,-91.24,32.0,9.17
396,Igarka,76,RU,1547356198,60,67.47,86.57,-20.5,26.28
397,Gambela,0,ET,1547356199,36,8.25,34.59,70.58,3.02
398,Tankhoy,48,RU,1547356200,86,51.55,105.12,3.53,11.41
399,Lososina,0,RU,1547356202,94,49.0,140.31,16.22,6.38
400,Evans,40,US,1547355240,71,40.38,-104.69,32.0,3.36
401,Big Spring,1,US,1547355300,82,32.25,-101.48,40.1,5.93
402,Maceio,40,BR,1547352000,88,-9.67,-35.74,73.4,2.24
403,Pacific Grove,1,US,1547355600,79,36.62,-121.92,55.04,8.05
404,Jiazi,40,CN,1547352000,78,19.61,110.49,75.2,13.42
405,Hobyo,80,SO,1547356209,75,5.35,48.53,77.78,19.91
406,Sao Jose da Coroa Grande,88,BR,1547356210,100,-8.9,-35.15,73.91,3.24
407,Terrace Bay,0,CA,1547356211,100,48.78,-87.1,16.49,5.59
408,Pisco,0,PE,1547352000,88,-13.71,-76.2,71.6,10.29
409,Porto Walter,80,BR,1547355915,99,-8.27,-72.74,70.4,2.24
410,Vanavara,0,RU,1547356215,59,60.35,102.28,-20.59,5.3
411,Korcula,20,HR,1547352000,86,42.96,17.14,26.6,2.24
412,Severo-Kurilsk,32,RU,1547356218,97,50.68,156.12,32.15,15.59
413,Zhangye,0,CN,1547356219,84,38.94,100.46,27.47,4.74
414,Durango,40,US,1547355180,74,37.28,-107.88,32.0,9.17
415,Kalmunai,92,LK,1547356221,94,7.42,81.82,78.23,8.55
416,Mahibadhoo,48,MV,1547356222,100,3.78,72.97,82.1,14.47
417,Chumikan,20,RU,1547356224,70,54.72,135.31,1.82,3.36
418,Macrohon,12,PH,1547356225,78,10.08,124.94,83.18,11.63
419,Port Blair,40,IN,1547352000,74,11.67,92.75,84.2,9.17
420,Sisimiut,68,GL,1547356228,100,66.94,-53.67,-12.94,1.01
421,Moron,88,VE,1547356229,97,10.49,-68.2,67.34,3.29
422,Hamilton,75,BM,1547351700,72,32.3,-64.78,60.8,6.93
423,Camacha,75,PT,1547353800,63,33.08,-16.33,64.4,17.22
424,Olenino,76,RU,1547356232,93,56.21,33.48,19.91,7.05
425,Dusti,0,TJ,1547353800,95,37.35,68.68,37.4,4.47
426,Los Llanos de Aridane,0,ES,1547353800,58,28.66,-17.92,59.0,8.05
427,Davila,75,PH,1547352000,65,18.47,120.58,82.4,6.93
428,Hurricane,90,US,1547355180,92,37.18,-113.29,41.0,3.36
429,Hessisch Oldendorf,75,DE,1547355000,93,52.17,9.25,44.6,12.75
430,Batemans Bay,100,AU,1547356240,88,-35.71,150.18,70.22,5.26
431,Semnan,0,IR,1547352000,63,35.58,53.39,30.2,2.24
432,Castro Alves,12,BR,1547356242,93,-12.76,-39.43,68.24,2.8
433,Siavonga,8,ZW,1547356243,83,-16.54,28.71,76.16,5.08
434,Phatthalung,20,TH,1547352000,62,7.62,100.08,87.8,11.41
435,Iquique,0,CL,1547352000,64,-20.22,-70.14,71.6,3.36
436,Nalut,0,LY,1547356247,85,31.86,10.98,27.92,7.27
437,Palora,80,EC,1547356248,100,-1.7,-77.97,60.86,2.13
438,Rawson,0,AR,1547356249,67,-43.3,-65.11,57.35,10.67
439,Viedma,0,AR,1547356163,63,-40.81,-62.99,62.75,10.18
440,Talakan,76,RU,1547356252,66,50.29,130.28,5.6,3.29
441,Nome,1,US,1547355300,69,30.04,-94.42,48.92,9.17
442,Newport,90,GB,1547355000,100,51.59,-3.0,48.2,17.22
443,Mayor Pablo Lagerenza,12,PY,1547356255,91,-19.93,-60.77,74.9,6.26
444,Valer,20,ES,1547356256,58,41.76,-6.18,14.15,2.84
445,Dasoguz,0,TM,1547353800,77,41.84,59.97,37.4,18.34
446,Emet,92,TR,1547356259,100,39.34,29.26,30.62,3.4
447,Rehoboth,0,NA,1547356260,44,-23.31,17.08,60.32,5.37
448,Igurubi,64,TZ,1547356261,100,-4.0,33.71,66.53,3.91
449,Beyneu,24,KZ,1547356263,96,45.32,55.19,29.18,8.55
450,Vereya,88,RU,1547356264,87,55.34,36.19,20.45,7.05
451,Mugango,20,TZ,1547352000,88,-1.69,33.7,64.4,7.27
452,Denpasar,20,ID,1547353800,79,-8.65,115.22,86.0,11.41
453,Salta,75,AR,1547352000,88,-24.79,-65.41,66.2,3.36
454,Sosnovo,12,RU,1547356269,86,60.56,30.25,13.43,4.52
455,Ihosy,68,MG,1547356270,100,-22.4,46.13,70.4,3.36
456,Jacareacanga,0,BR,1547356271,89,-6.22,-57.76,75.62,2.06
457,El Cobre,20,CU,1547355120,73,20.05,-75.95,71.6,6.93
458,Gobabis,0,NA,1547356274,25,-22.45,18.97,65.72,11.18
459,Ostrovnoy,76,RU,1547356275,100,68.05,39.51,18.92,12.3
460,Brae,80,GB,1547355000,87,60.4,-1.35,48.2,27.51
461,Mumford,36,GH,1547356078,91,5.26,-0.76,76.52,2.91
462,Inhambane,40,MZ,1547352000,94,-23.87,35.38,82.4,6.31
463,Druzhnaya Gorka,40,RU,1547353800,85,59.28,30.14,24.8,13.42
464,Coihaique,0,CL,1547352000,70,-45.58,-72.07,46.4,2.24
465,Umm Lajj,100,SA,1547356282,97,25.02,37.27,72.29,10.45
466,Panama City,90,US,1547355180,89,30.16,-85.65,66.02,10.29
467,Llandrindod Wells,80,GB,1547356285,97,52.24,-3.38,44.12,16.6
468,Santa Isabel do Rio Negro,32,BR,1547356045,80,-0.41,-65.02,78.59,2.73
469,Klaksvik,92,FO,1547355000,93,62.23,-6.59,39.2,14.99
470,Itaituba,48,BR,1547356288,97,-4.26,-55.99,74.54,2.62
471,San Juan,75,PH,1547352000,66,14.6,121.03,84.2,13.87
472,Marawi,80,PH,1547356291,69,8.0,124.29,79.22,3.06
473,Ambon,90,FR,1547353800,93,47.55,-2.56,50.0,10.29
474,Valparaiso,90,US,1547355300,78,41.47,-87.06,31.1,17.22
475,Butembo,64,CD,1547356295,86,0.12,29.29,67.7,2.39
476,Urengoy,56,RU,1547356296,82,65.96,78.37,-4.93,21.74
477,Darnah,92,LY,1547356244,100,32.77,22.64,56.45,24.87
478,Oskemen,75,KZ,1547353800,83,49.96,82.61,-9.41,2.24
479,Egvekinot,24,RU,1547356300,54,66.32,-179.17,-32.38,5.26
480,Diffa,0,NE,1547356301,43,13.32,12.61,58.07,9.28
481,Canutama,80,BR,1547356200,98,-6.53,-64.38,72.38,3.13
482,Dromolaxia,40,CY,1547353800,87,34.88,33.59,55.4,9.17
483,Oranjestad,20,AW,1547352000,74,12.52,-70.03,78.8,16.11
484,Lapeer,75,US,1547355300,69,43.05,-83.32,26.06,5.82
485,Inyonga,80,TZ,1547356307,92,-6.72,32.06,66.8,4.29
486,Sattenapalle,0,IN,1547356308,75,16.39,80.15,80.93,5.59
487,Zhoucheng,75,CN,1547352000,75,31.35,119.33,41.0,4.47
488,Delijan,12,IR,1547356311,59,33.99,50.69,35.3,4.41
489,Wittingen,75,DE,1547353200,87,52.73,10.74,42.8,10.29
490,Purpe,80,RU,1547356313,76,64.48,76.69,-3.31,19.57
491,Aguimes,0,ES,1547353800,55,27.91,-15.45,62.6,2.24
492,Sabak,75,MY,1547352000,66,3.77,100.99,89.6,2.24
493,Erenhot,0,CN,1547356317,42,43.65,111.97,26.39,8.66
494,Jasper,92,US,1547355360,100,33.83,-87.28,51.08,4.36
495,Diu,0,IN,1547356319,44,20.71,70.98,80.03,8.1
496,Conakry,40,GN,1547355600,83,9.52,-13.7,77.0,6.93
497,Monrovia,40,LR,1547352000,100,6.33,-10.8,75.2,2.62
498,Makakilo City,90,US,1547353320,78,21.35,-158.09,78.08,4.25
499,Nishihara,20,JP,1547353800,45,35.74,139.53,50.0,10.29
500,Rapar,0,IN,1547356326,54,23.57,70.65,72.83,7.43
501,Mayumba,92,GA,1547356314,100,-3.44,10.65,74.9,7.05
502,Carutapera,92,BR,1547356328,96,-1.2,-46.02,76.79,4.81
503,Tura,0,IN,1547356329,64,25.52,90.21,70.58,4.74
504,Belmonte,0,PT,1547356331,79,40.36,-7.35,25.85,5.64
505,Lucapa,76,AO,1547356332,83,-8.42,20.74,71.57,4.59
506,Mehamn,80,NO,1547356333,88,71.03,27.85,29.18,9.78
507,Boulder City,90,US,1547355300,43,35.98,-114.83,53.06,2.51
508,Saint Anthony,1,US,1547355360,91,43.97,-111.68,6.98,2.51
509,Dingle,20,PH,1547356337,68,11.0,122.67,84.17,14.43
510,Silvania,40,CO,1547352000,87,4.4,-74.39,51.8,4.7
511,Kungurtug,36,RU,1547356339,57,50.6,97.53,-2.14,8.28
512,Paamiut,88,GL,1547356216,98,61.99,-49.67,32.15,24.94
513,Avigliana,0,IT,1547355000,74,45.08,7.4,33.8,1.12
514,Shamkhal,68,RU,1547353800,92,43.06,47.33,30.2,2.24
515,Canon City,0,US,1547356344,63,39.46,-117.13,6.59,4.03
516,Roald,92,NO,1547355000,86,62.58,6.12,41.0,18.34
517,Ilheus,80,BR,1547356347,100,-14.79,-39.05,79.04,4.63
518,Antigonish,90,CA,1547352000,84,45.62,-61.99,8.6,6.93
519,Carballo,0,ES,1547353800,75,43.21,-8.69,46.4,2.24
520,Havelock,90,US,1547355480,96,34.88,-76.9,46.04,11.41
521,Kurchum,48,KZ,1547356352,96,48.57,83.65,13.79,3.91
522,Barraute,90,CA,1547353500,91,48.43,-77.63,-2.21,3.36
523,Bamnet Narong,0,TH,1547356354,38,15.5,101.69,92.09,6.93
524,Dukat,76,RS,1547356355,91,42.44,22.31,15.41,0.6
525,Acapulco,40,MX,1547354940,83,16.86,-99.88,78.8,4.29
526,Rapid City,90,US,1547355180,92,44.08,-103.23,28.4,6.93
527,Mackay,40,CA,1547352000,92,53.65,-115.58,30.2,9.17
528,Yulara,0,AU,1547352000,8,-25.24,130.99,109.4,12.75
529,Sobolevo,80,RU,1547356361,95,54.43,31.9,25.4,7.76
530,Ajdabiya,92,LY,1547356363,94,30.75,20.22,49.16,10.56
531,Palu,68,ID,1547356364,82,-0.9,119.87,74.9,1.61
532,Menongue,36,AO,1547356365,22,-14.66,17.68,79.31,8.39
533,Thenzawl,0,IN,1547356366,65,23.28,92.78,70.22,1.9
534,Patnongon,12,PH,1547356368,82,10.91,121.99,84.53,8.32
535,Mitsamiouli,40,KM,1547352000,83,-11.38,43.28,78.8,5.82
536,Vila Franca do Campo,75,PT,1547353800,72,37.72,-25.43,59.0,12.75
537,Waingapu,48,ID,1547356371,91,-9.65,120.26,83.09,4.81
538,Sambava,56,MG,1547356372,100,-14.27,50.17,81.47,8.61
539,Shache,64,CN,1547356242,80,38.42,77.24,21.62,4.52
540,Katangli,64,RU,1547356375,100,51.71,143.23,12.71,14.09
541,Honda,20,JP,1547353800,45,35.71,139.48,50.0,10.29
542,Acajutla,0,SV,1547356377,92,13.59,-89.83,68.42,3.29
543,Puerto Colombia,20,CO,1547352000,83,10.99,-74.96,78.8,14.99
544,Point Pedro,92,LK,1547356380,93,9.82,80.23,80.03,17.94
545,Netarhat,0,IN,1547356381,57,23.45,84.31,74.63,3.8
546,Sechura,20,PE,1547356382,89,-5.56,-80.82,71.84,9.62
547,Teguise,0,ES,1547353800,77,29.06,-13.56,60.8,8.05
548,Dire,0,ET,1547352000,45,9.18,38.92,44.6,4.7
